id,year,month,location,lat,lon,type,rating,edec,geog.acc,sight.loc,obs.mob,time.period,no.obs,no.thyl,dist
1,1910,3,Lowana ,-42.19045,145.36455,S,5,EO,Approx,Road,Driving,Day,1,1,Near
2,1910,6,Fingal,-41.63835,147.96964,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
3,1910,7,Irishtown,-40.89725,145.15795,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
4,1910,NA,Humboldt Divide,-42.72091,146.44038,S,5,EO,Approx,Bush,Walking,Unkn,1,3+,Far
5,1910,NA,Penguin,-41.12964,146.06533,K,5,PS,Approx,Bush,Walking,Night,1,1,Near
6,1910,NA,Pyengana,-41.28954,148.00465,C,3,PS,Approx,Bush,Walking,Unkn,1,3+,Near
7,1911,6,Spring Bay,-42.53103,147.93135,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
8,1911,8,Tyenna,-42.72454,146.6759,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
9,1911,12,Fitzgerald,-42.74913,146.65274,K,5,PS,Approx,Bush,Walking,Day,3+,1,Near
10,1911,NA,Bermuda Rd,-43.05666,146.89833,K,4,PS,Approx,Road,Walking,Unkn,1,1,Near
11,1911,NA,Railton,-41.32904,146.42365,S,5,EO,Approx,Road,Driving,Night,2,1,Near
12,1912,5,Launceston,-41.43327,147.14408,C,5,PS,Approx,Bush,Walking,Unkn,1,2,Near
13,1912,5,Mathinna,-41.52524,147.79078,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
14,1910,9,Dip/Arthur Rivers,-41.06102,145.36944,C,5,PS,Approx,Bush,Walking,Unkn,2,1,Near
15,1912,NA,Nook,-41.31462,146.3226,S,5,EO,Approx,Bush,Walking,Night,3+,2,Near
17,1913,8,Ben Lomond Creek,-41.54296,147.71619,C,5,PS,Approx,Bush,Walking,Unkn,1,3+,Near
19,1913,9,Ivy Glen,-41.91872,147.47728,S,5,EO,Unkn,Bush,Walking,Day,1,3+,Near
20,1913,NA,Mt Balfour,-41.28176,144.88809,S,5,EO,Approx,Bush,Walking,Night,3+,2,Near
21,1913,NA,Redpa,-40.93896,144.76105,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
22,1913,NA,Rocky Cape,-40.90363,145.51986,S,5,EO,Approx,Bush,Walking,Day,3+,1,Near
23,1914,5,Britton Swamp,-40.8903,145.03961,C,5,PS,Approx,Bush,Walking,Unkn,1,3+,Near
24,1914,5,Britton Swamp,-40.8903,145.03961,K,5,PS,Approx,Bush,Walking,Unkn,1,2,Near
25,1914,5,Britton Swamp,-40.8903,145.03961,S,5,EO,Approx,Bush,Walking,Unkn,1,1,Near
26,1914,10,Mainwaring River,-42.86817,145.44354,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
27,1914,NA,Hibbs River,-42.57109,145.30371,S,5,EO,Approx,Bush,Walking,Day,1,3+,Near
28,1914,NA,Tiger Hill (Buckland),-42.51683,147.70743,C,4,PS,Approx,Bush,Walking,Unkn,2,1,Near
29,1914,NA,Tyenna,-42.72454,146.6759,K,5,PS,Approx,Bush,Walking,Unkn,Unkn,1,Unkn
30,1915,2,Boat Harbour,-40.95247,145.63587,K,5,PS,Approx,Bush,Walking,Day,1,1,Near
31,1912,NA,Marrawah,-40.93425,144.6957,C,3,PS,Approx,Bush,Walking,Unkn,1,1,Near
32,1915,10,Wynyard,-40.99545,145.71428,C,5,PS,Approx,Bush,Walking,Unkn,3+,1,Near
33,1916,2,Browns River,-42.95841,147.2717,K,5,PS,Approx,Bush,Walking,Night,1,1,Near
34,1916,5,Arthur River,-41.05263,144.66732,C,5,PS,Approx,Bush,Walking,Unkn,3+,1,Near
35,1916,5,Meunna,-40.85239,145.36667,C,5,PS,Approx,Bush,Walking,Night,3+,1,Near
36,1916,6,Tyenna,-42.72454,146.6759,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
37,1916,10,Black River,-40.85239,145.36667,K,5,PS,Approx,Bush,Walking,Unkn,Unkn,3+,Unkn
38,1916,NA,Woolnorth,-40.71422,144.73783,C,5,PS,Approx,Bush,Walking,Unkn,1,2,Near
39,1917,3,Elliott,-41.10897,145.78235,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
40,1917,3,West Montagu,-40.78157,144.90197,C,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
41,1917,7,Mt Cameron,-40.97994,147.94073,K,5,PS,Approx,Bush,Walking,Unkn,1,1,Near
44,1917,NA,Wynyard,-40.99545,145.71428,C,3,PS,Approx,Bush,Walking,Unkn,1,1,Near
45,1918,7,Motherwell Farm,-40.85883,145.20028,S,5,EO,Approx,Road,Driving,Unkn,1,3+,Near
46,1919,11,Kelvedon,-42.20046,148.04555,C,3,PS,Approx,Bush,Walking,Unkn,Unkn,3+,Near
47,1919,NA,Black River,-40.85239,145.36667,S,5,EO,Approx,Bush,Walking,Day,1,1,Near
